"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
38876007,"FR. TERRY BLEND HOODIE RED/GRY 3XL",4,30,60,120,105,-15,0.5,In-store,3XL,388760,RED/GRY
39473202,"CLRBLK HOOD GR/WH/BL SM",9,31,64.99,279,477.41,198.41,0.523003539,In-store,SM,394732,GR/WH/BL
39473203,"CLRBLK HOOD GR/WH/BL MED",21,31,64.99,651,1068.41,417.41,0.523003539,In-store,MED,394732,GR/WH/BL
39473204,"CLRBLK HOOD GR/WH/BL LG",19,31,64.99,589,1037.81,448.81,0.523003539,In-store,LG,394732,GR/WH/BL
39473205,"CLRBLK HOOD GR/WH/BL XL",19,31,64.99,589,711.24,122.24,0.523003539,In-store,XL,394732,GR/WH/BL
39473206,"CLRBLK HOOD GR/WH/BL XXL",10,31,64.99,310,383.82,73.82,0.523003539,In-store,XXL,394732,GR/WH/BL
39486002,"CLRBLK HOOD RD/WH/BL SM",5,31,64.99,155,81.25,-73.75,0.523003539,In-store,SM,394860,RD/WH/BL
39486003,"CLRBLK HOOD RD/WH/BL MED",13,31,64.99,403,211.25,-191.75,0.523003539,In-store,MED,394860,RD/WH/BL
39486004,"CLRBLK HOOD RD/WH/BL LG",6,31,64.99,186,97.5,-88.5,0.523003539,In-store,LG,394860,RD/WH/BL
39486005,"CLRBLK HOOD RD/WH/BL XL",17,31,64.99,527,276.25,-250.75,0.523003539,In-store,XL,394860,RD/WH/BL
39486006,"CLRBLK HOOD RD/WH/BL XXL",5,31,64.99,155,81.25,-73.75,0.523003539,In-store,XXL,394860,RD/WH/BL
39896003,"STADIUM HOOD RED/BLK MED",6,22.5,49.99,135,75,-60,0.549909982,In-store,MED,398960,RED/BLK
39896004,"STADIUM HOOD RED/BLK LG",19,22.5,49.99,427.5,491.5,64,0.549909982,In-store,LG,398960,RED/BLK
39896005,"STADIUM HOOD RED/BLK XL",8,22.5,49.99,180,66.37,-113.63,0.549909982,In-store,XL,398960,RED/BLK
39896006,"STADIUM HOOD RED/BLK XXL",7,22.5,49.99,157.5,190.47,32.97,0.549909982,In-store,XXL,398960,RED/BLK
39903502,"STADIUM HOOD WHT/GRY SM",1,22.5,49.99,22.5,49.99,27.49,0.549909982,In-store,SM,399035,WHT/GRY
39903503,"STADIUM HOOD WHT/GRY MED",2,22.5,49.99,45,62.49,17.49,0.549909982,In-store,MED,399035,WHT/GRY
39903504,"STADIUM HOOD WHT/GRY LG",13,22.5,49.99,292.5,591.89,299.39,0.549909982,In-store,LG,399035,WHT/GRY
39903505,"STADIUM HOOD WHT/GRY XL",27,22.5,49.99,607.5,930.13,322.63,0.549909982,In-store,XL,399035,WHT/GRY
39903506,"STADIUM HOOD WHT/GRY XXL",8,22.5,49.99,180,317.94,137.94,0.549909982,In-store,XXL,399035,WHT/GRY
39913002,"STADIUM HOOD BLK/RED SM",7,22.5,49.99,157.5,329.93,172.43,0.549909982,In-store,SM,399130,BLK/RED
39913003,"STADIUM HOOD BLK/RED MED",26,22.5,49.99,585,1262.25,677.25,0.549909982,In-store,MED,399130,BLK/RED
39913004,"STADIUM HOOD BLK/RED LG",23,22.5,49.99,517.5,1149.77,632.27,0.549909982,In-store,LG,399130,BLK/RED
39913005,"STADIUM HOOD BLK/RED XL",15,22.5,49.99,337.5,712.36,374.86,0.549909982,In-store,XL,399130,BLK/RED
39913006,"STADIUM HOOD BLK/RED XXL",5,22.5,49.99,112.5,249.95,137.45,0.549909982,In-store,XXL,399130,BLK/RED
