"Model no","Display Name","Date Created","Date Received","Item name","Quantity Received","Unit Cost","Extended Cost","Retail Price","Extended retail","Gross Margin %",Size,"Product No"
75563006," HOOD SWEAT BLK  XXL",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,755630
75613204," HOOD SWEAT   CHAR LG",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",18,26.27,472.86,54.99,989.82,0.522276778,LG,756132
75613205," HOOD SWEAT   CHAR XL",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",12,26.27,315.24,54.99,659.88,0.522276778,XL,756132
75613206," HOOD SWEAT   CHAR XXL",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",6,26.27,157.62,54.99,329.94,0.522276778,XXL,756132
75633204," HOOD SWEAT   OXFORD GRY LG",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",18,25.05,450.9,54.99,989.82,0.54446263,LG,756332
75633205," HOOD SWEAT   OXFORD GRY XL",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",12,25.05,300.6,54.99,659.88,0.54446263,XL,756332
75633206," HOOD SWEAT   OXFORD GRY XXL",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",6,25.05,150.3,54.99,329.94,0.54446263,XXL,756332
75573204," HOOD SWEAT CHAR LG",2/28/2023,3/24/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,LG,755732
75573205," HOOD SWEAT CHAR XL",2/28/2023,3/24/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755732
75603004," HOOD SWEAT BLACK LG",2/28/2023,3/24/2023,"315 - Hooded Sweat Adult",18,25.05,450.9,54.99,989.82,0.54446263,LG,756030
75563003," HOOD SWEAT BLK  MED",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,MED,755630
75563004," HOOD SWEAT BLK  LG",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,LG,755630
75563005," HOOD SWEAT BLK  XL",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755630
75573203," HOOD SWEAT CHAR MED",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,MED,755732
75573205," HOOD SWEAT CHAR XL",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755732
75586002," HOOD SWEAT RED SM",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755860
75586003," HOOD SWEAT RED MED",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,MED,755860
75586004," HOOD SWEAT RED LG",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,LG,755860
75586005," HOOD SWEAT RED XL",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755860
75593502," HOOD SWEAT WHT SM",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755935
75593505," HOOD SWEAT WHT XL",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755935
75593506," HOOD SWEAT WHT XXL",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,755935
75603002," HOOD SWEAT BLACK SM",3/28/2023,4/5/2023,"315 - Hooded Sweat Adult",12,25.05,300.6,54.99,659.88,0.54446263,SM,756030
